,pred,pred_high,pred_low,dif4,sigma_dif4,dif4_high,dif4_low,dif4_median,match4,sigma_match4,match4_high,match4_low,match4_median,spectrum4
0,45729.37165671736,39475.18514954992,51944.1179398981,0.0,0.0,0.0,0.0,0.0,32531.997240949117,5.448790135789677e-12,32531.997240949022,32531.997240949022,32531.997240949022,32531.997240949022
1,48087.18869287082,41330.68319030785,54662.619124958444,0.0,0.0,0.0,0.0,0.0,32531.99724094912,5.448790135789677e-12,32531.997240949022,32531.997240949022,32531.997240949022,32531.997240949022
2,50548.75661329358,43595.155575054916,57448.41464449162,0.0,0.0,0.0,0.0,0.0,32840.845536034554,5.6882901311619764e-12,32840.84553603445,32840.84553603445,32840.84553603445,32840.84553603445
3,53200.13324481281,45754.58343238597,60561.92958671782,0.0,0.0,0.0,0.0,0.0,33451.05910169342,6.120587557350781e-12,33451.0591016933,33451.0591016933,33451.0591016933,33451.0591016933
4,56060.73804259593,48282.33921245708,63542.257595749856,0.0,0.0,0.0,0.0,0.0,34342.055289722244,6.6365892089472e-12,34342.05528972213,34342.05528972213,34342.05528972213,34342.05528972213
5,59152.599579931455,51059.734958670924,67279.3746590675,0.0,0.0,0.0,0.0,0.0,35482.69938925399,7.118131228914548e-12,35482.699389253874,35482.699389253874,35482.699389253874,35482.699389253874
6,62499.87277869659,53979.87117299745,70867.69291400707,0.0,0.0,0.0,0.0,0.0,36839.57810299753,7.471533019831304e-12,36839.57810299742,36839.57810299742,36839.57810299742,36839.57810299742
7,66123.86799308618,57009.670339167125,75030.91912014544,0.0,0.0,0.0,0.0,0.0,38387.48278538478,7.679247037889741e-12,38387.48278538468,38387.48278538468,38387.48278538468,38387.48278538468
8,70062.65640033843,60616.62655378108,79051.57863338383,0.0,0.0,0.0,0.0,0.0,40109.88576186306,7.729138758134096e-12,40109.88576186296,40109.88576186296,40109.88576186296,40109.88576186296
9,74355.50625972982,64633.592509471375,83849.39064318824,0.0,0.0,0.0,0.0,0.0,41996.57069339359,7.63655066235797e-12,41996.57069339352,41996.57069339352,41996.57069339352,41996.57069339352
10,79045.67294897488,68942.82469713216,89022.73473018748,0.0,0.0,0.0,0.0,0.0,44048.258988047026,7.473763178886679e-12,44048.25898804698,44048.25898804698,44048.25898804698,44048.25898804698
11,84183.17757028298,73582.08575334949,94833.06126823118,0.0,0.0,0.0,0.0,0.0,46279.611202123386,7.320663928958038e-12,46279.61120212337,46279.61120212337,46279.61120212337,46279.61120212337
